0	-nan	-nan	-nan
6.11	0.134735	0.0456358	0.0890991
6.12	0.134357	0.0454694	0.0888877
6.13	0.133973	0.0453006	0.0886727
6.14	0.133583	0.0451292	0.0884541
6.15	0.133187	0.0449554	0.0882321
6.16	0.132786	0.0447792	0.0880064
6.17	0.132378	0.0446006	0.0877772
6.18	0.131964	0.0444195	0.0875444
6.19	0.131544	0.0442362	0.0873081
6.2	0.131119	0.0440504	0.0870681
6.21	0.130687	0.0438624	0.0868246
6.22	0.13025	0.043672	0.0865775
6.23	0.129806	0.0434794	0.0863268
6.24	0.129357	0.0432846	0.0860725
6.25	0.128902	0.0430876	0.0858146
6.26	0.128442	0.0428884	0.0855531
6.27	0.127975	0.042687	0.0852881
6.28	0.127503	0.0424835	0.0850195
6.29	0.127025	0.042278	0.0847473
6.3	0.126542	0.0420703	0.0844715
6.31	0.126053	0.0418607	0.0841922
6.32	0.125558	0.0416491	0.0839094
6.33	0.125058	0.0414355	0.083623
6.34	0.124553	0.0412199	0.0833331
6.35	0.124042	0.0410025	0.0830396
6.36	0.123526	0.0407833	0.0827427
6.37	0.123004	0.0405622	0.0824423
6.38	0.122478	0.0403393	0.0821384
6.39	0.121946	0.0401147	0.0818311
6.4	0.121409	0.0398883	0.0815204
6.41	0.120867	0.0396603	0.0812062
6.42	0.120319	0.0394307	0.0808887
6.43	0.119767	0.0391994	0.0805677
6.44	0.11921	0.0389666	0.0802435
6.45	0.118648	0.0387323	0.0799159
6.46	0.118081	0.0384964	0.079585
6.47	0.11751	0.0382591	0.0792509
6.48	0.116934	0.0380205	0.0789135
6.49	0.116353	0.0377804	0.0785729
6.5	0.115768	0.037539	0.0782292
6.51	0.115179	0.0372964	0.0778823
6.52	0.114585	0.0370524	0.0775323
6.53	0.113986	0.0368073	0.0771792
6.54	0.113384	0.036561	0.076823
6.55	0.112777	0.0363136	0.0764639
6.56	0.112167	0.0360652	0.0761017
6.57	0.111552	0.0358156	0.0757367
